四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
1994/ 1- 3.,510129 ,266613 ,262049 ,227606 ,28674 ,80433 ,3822 ,73547 ,46403 ,(418),11055 ,44988 ,33933 ,4449 ,15710 ,11261 ,514578 ,499075 ,379542 ,119533 ,155511 ,506725 
4- 6.,509013 ,269151 ,264515 ,229700 ,29970 ,79980 ,(3045),75113 ,47380 ,489 ,9976 ,45500 ,35524 ,4148 ,15650 ,11502 ,513161 ,499037 ,376056 ,122982 ,157330 ,511570 
7- 9.,512969 ,270651 ,265985 ,230762 ,32363 ,79431 ,(138),75898 ,45541 ,657 ,8567 ,45054 ,36487 ,4190 ,16018 ,11828 ,517159 ,504402 ,382306 ,122096 ,157334 ,512450 
10-12.,511573 ,271237 ,266518 ,230814 ,30940 ,80299 ,(1605),76697 ,44714 ,706 ,8585 ,45110 ,36525 ,4208 ,16563 ,12355 ,515781 ,502988 ,380871 ,122117 ,155953 ,512471 
1995/ 1- 3.,514942 ,272765 ,267977 ,231905 ,29884 ,82050 ,2065 ,77679 ,42840 ,(147),7808 ,45054 ,37246 ,4262 ,16862 ,12600 ,519205 ,507135 ,386764 ,120371 ,154774 ,513025 
4- 6.,518757 ,274173 ,269310 ,232898 ,28983 ,84418 ,956 ,78137 ,44467 ,221 ,7402 ,44074 ,36671 ,3449 ,15897 ,12449 ,522205 ,511355 ,388530 ,122824 ,157868 ,517580 
7- 9.,525359 ,275769 ,270835 ,234023 ,28386 ,85770 ,2113 ,79100 ,47788 ,179 ,6254 ,46803 ,40550 ,5016 ,20055 ,15039 ,530375 ,519105 ,392038 ,127067 ,161945 ,523068 
10-12.,527011 ,277873 ,272895 ,235716 ,28943 ,86906 ,1000 ,79653 ,47967 ,222 ,4448 ,47882 ,43434 ,5280 ,20688 ,15407 ,532292 ,522564 ,394722 ,127841 ,163816 ,525789 
1996/ 1- 3.,529105 ,276995 ,271998 ,234442 ,30313 ,86233 ,1340 ,79774 ,50359 ,486 ,3606 ,48837 ,45232 ,6034 ,12705 ,6672 ,535139 ,525499 ,394881 ,130619 ,166904 ,527279 
4- 6.,536022 ,281063 ,276031 ,238029 ,31708 ,88655 ,3053 ,80800 ,49491 ,151 ,1102 ,48942 ,47841 ,6774 ,12916 ,6142 ,542796 ,534921 ,404478 ,130442 ,169854 ,532818 
7- 9.,536100 ,281156 ,276086 ,237654 ,33107 ,89609 ,1576 ,81708 ,47380 ,188 ,1378 ,49658 ,48280 ,6472 ,12413 ,5941 ,542572 ,534723 ,405447 ,129275 ,170095 ,534337 
10-12.,541126 ,284256 ,279173 ,240294 ,33988 ,89692 ,2493 ,82119 ,46425 ,231 ,1921 ,52019 ,50097 ,6625 ,12547 ,5922 ,547751 ,539204 ,410428 ,128776 ,170105 ,538402 
1997/ 1- 3.,542203 ,288473 ,283405 ,244104 ,33068 ,90454 ,(621),82706 ,45707 ,142 ,2275 ,55133 ,52858 ,7218 ,13366 ,6148 ,549421 ,539928 ,411374 ,128554 ,169229 ,542682 
4- 6.,544055 ,285104 ,280115 ,240379 ,30419 ,90647 ,2591 ,83290 ,46293 ,99 ,5611 ,56891 ,51279 ,7387 ,13442 ,6055 ,551442 ,538444 ,408762 ,129682 ,167360 ,541365 
7- 9.,544011 ,285586 ,280656 ,240541 ,28377 ,90792 ,4693 ,82943 ,46400 ,138 ,5082 ,55287 ,50205 ,6440 ,12661 ,6221 ,550451 ,538929 ,409448 ,129481 ,165568 ,539180 
10-12.,544945 ,284749 ,279726 ,239273 ,27021 ,92824 ,3920 ,83677 ,43973 ,407 ,8375 ,58428 ,50053 ,7604 ,14354 ,6750 ,552549 ,536570 ,408514 ,128055 ,163817 ,540618 
1998/ 1- 3.,538025 ,283994 ,278733 ,237886 ,26190 ,91038 ,3307 ,83618 ,41291 ,235 ,8353 ,56882 ,48530 ,7190 ,13534 ,6344 ,545215 ,529672 ,404529 ,125144 ,158519 ,534484 
4- 6.,534796 ,283408 ,277877 ,236866 ,25538 ,89916 ,1713 ,83446 ,40729 ,135 ,9912 ,56686 ,46774 ,6079 ,12669 ,6590 ,540875 ,524883 ,400574 ,124310 ,156182 ,532948 
7- 9.,533894 ,284804 ,279058 ,237746 ,24910 ,89029 ,(473),83650 ,42431 ,(68),9612 ,57149 ,47537 ,6871 ,12775 ,5905 ,540765 ,524282 ,398269 ,126013 ,156369 ,534434 
10-12.,539270 ,285477 ,279585 ,238178 ,24211 ,86017 ,2431 ,85439 ,46463 ,(544),9775 ,52150 ,42375 ,6236 ,10890 ,4654 ,545505 ,529494 ,398136 ,131358 ,156692 ,537383 
1999/ 1- 3.,529087 ,285200 ,279244 ,237682 ,23855 ,83194 ,(3544),85295 ,46350 ,(76),8813 ,50678 ,41865 ,5536 ,10590 ,5055 ,534622 ,520274 ,388705 ,131569 ,153399 ,532706 
4- 6.,529004 ,285044 ,278942 ,237186 ,25398 ,83339 ,(3853),85849 ,45347 ,(5),7886 ,51699 ,43813 ,6684 ,10885 ,4201 ,535688 ,521118 ,389927 ,131191 ,154084 ,532862 
7- 9.,528592 ,286727 ,280450 ,238450 ,25682 ,82693 ,(3379),85565 ,43954 ,2 ,7347 ,52189 ,44842 ,6775 ,10640 ,3865 ,535367 ,521245 ,391724 ,129521 ,152330 ,531969 
